Number	lat	lon	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19
1	18.2497309	109.507051	255	64	44	2651	317	174	NA	270	226	285	217	1315	263	8	85	718	31	463	31
2	18.2520133	109.504133	255	64	44	2651	317	174	NA	270	226	285	217	1315	263	8	85	718	31	465	31
3	18.2526246	109.511922	255	64	44	2651	306	174	NA	258	226	285	217	1319	263	8	85	719	31	465	31
4	18.6263091	109.7003424	248	74	46	2959	316	161	161	266	206	280	206	1451	283	12	80	767	46	495	46
5	18.760206	109.150173	248	76	44	3236	319	141	167	266	189	276	189	1307	254	11	82	697	42	465	42
6	18.760206	109.150173	248	76	44	3236	319	141	167	266	189	276	189	1307	254	11	82	697	42	465	42
7	19.021119	109.81634	228	79	45	3210	303	131	169	245	181	263	181	1770	334	17	76	874	66	634	66
8	19.042119	109.82234	228	81	45	3288	318	134	175	251	181	269	181	1695	315	17	76	862	66	595	66
9	19.254108	110.45517	246	78	42	3510	328	149	180	266	196	284	196	1904	358	34	63	900	128	572	128
10	19.254108	110.45517	246	78	42	3510	328	149	180	266	196	284	196	1904	358	34	63	900	128	572	128
11	19.675867	110.488144	240	71	39	3774	324	144	178	265	186	280	186	1742	300	30	62	756	116	666	116
12	19.675867	110.488144	240	71	39	3774	324	144	178	265	186	280	186	1742	300	30	62	756	116	666	116
13	19.675867	110.488144	240	71	39	3774	324	144	178	265	186	280	186	1742	300	30	62	756	116	666	116
14	19.684456	110.035358	244	74	40	3841	331	148	184	268	190	286	190	1294	221	24	59	559	89	475	89
15	19.767211	110.062379	239	71	39	3921	325	145	180	266	187	282	187	1277	222	25	57	540	88	466	88
16	19.775446	110.425749	243	69	40	3856	326	143	181	279	184	283	184	1669	287	28	60	711	110	633	110
17	19.782942	110.827549	241	67	37	3755	321	145	178	276	185	280	185	1818	312	28	62	786	111	736	111
18	21.469048	101.610624	196	116	54	3144	284	72	215	239	161	227	158	1665	313	20	77	878	78	689	79
19	21.7005184	111.161577	232	73	34	4691	322	117	206	283	180	283	165	1827	328	25	73	880	101	880	107
20	22.0103919	107.325267	216	79	35	5063	312	100	215	273	162	273	147	1594	295	27	75	856	99	856	109
21	22.0977681	107.957979	221	73	35	5196	317	94	215	278	159	278	138	1928	369	33	79	1078	116	1078	130
22	22.196862	107.984695	204	75	35	5224	306	93	217	268	156	268	138	1849	351	33	77	1010	115	1010	126
23	22.2525695	111.7215478	222	76	35	4880	318	102	212	277	169	277	153	1869	322	26	72	885	99	885	119
24	22.2525695	111.721547	222	76	35	4880	318	102	212	277	169	277	153	1869	322	26	72	885	99	885	119
25	23.1270407	113.341527	222	82	34	5469	328	96	235	275	165	284	147	1721	288	31	65	792	112	759	133
26	23.2267749	108.229301	221	77	33	5732	330	93	235	285	157	285	143	1613	281	40	66	783	133	783	171
27	23.376591	114.269635	204	77	35	5404	322	81	223	269	148	265	136	2006	345	34	68	943	122	845	173
28	23.5962197	111.702686	211	85	34	5953	332	78	254	243	149	282	131	1432	248	35	61	647	116	581	141
29	23.6462343	114.1175	206	86	34	5573	306	69	241	252	142	262	125	2005	367	33	67	948	127	838	183
30	23.734409	116.955829	210	60	29	5440	317	106	210	266	162	276	135	1399	256	27	62	646	98	492	126
31	23.734409	116.929958	212	63	29	5431	317	102	214	261	161	275	143	1414	263	28	62	649	98	513	128
32	23.738114	116.928233	212	63	29	5431	317	102	214	261	161	275	143	1413	263	28	62	651	98	513	128
33	23.819445	108.185833	220	77	32	5943	311	82	242	269	136	269	137	1645	287	39	66	819	133	819	171
34	23.904883	117.340699	206	52	27	5445	302	102	200	254	154	271	134	1326	242	25	62	592	93	458	123
35	23.922074	112.118723	213	85	32	6213	332	75	259	246	147	284	128	1527	274	38	61	707	121	582	158
36	23.926554	117.337824	208	54	27	5543	304	107	203	256	156	272	136	1263	230	25	60	558	94	431	126
37	23.9874779	117.331055	198	55	27	5613	314	104	207	264	159	281	131	1283	235	25	60	568	96	435	127
38	24.0454286	109.854419	205	80	30	6372	330	69	256	266	136	281	123	1472	265	40	61	694	136	617	165
39	24.0795663	114.176992	193	83	34	5822	307	55	248	225	129	260	113	1968	355	36	65	946	129	781	192
40	24.0795663	114.176992	193	83	34	5822	307	55	248	225	129	260	113	1968	355	36	65	946	129	781	192
41	24.0795663	114.1769922	193	83	34	5822	307	55	248	225	129	260	113	1968	355	36	65	946	129	781	192
42	24.101797	109.105573	197	78	31	6263	313	64	248	259	128	269	110	1487	240	38	64	705	125	686	155
43	24.129937	114.261227	181	84	33	5700	293	40	246	206	112	247	96	1993	359	36	67	941	128	798	194
44	24.1755866	110.2355647	141	76	31	5994	255	9	240	197	75	211	57	1604	287	39	65	764	127	727	171
45	24.1860449	113.4150624	206	84	32	6304	340	66	267	248	139	288	111	1813	328	36	66	891	117	693	183
46	24.34606	114.185868	196	86	32	6164	316	55	259	230	130	267	113	1846	333	37	65	878	129	706	190
47	24.357731	116.1698842	205	86	33	5722	321	68	251	235	141	271	126	1587	252	32	58	683	121	591	174
48	24.4666722	112.626493	203	82	30	6685	336	60	277	241	133	285	115	1566	279	39	63	750	129	556	174
49	24.467724	114.90003	199	85	33	6181	319	54	267	232	168	269	114	1740	312	36	62	807	129	631	198
50	24.492455	114.99834	179	83	32	5980	295	40	255	212	156	255	97	1818	327	37	60	832	134	683	199
51	24.516667	114.866667	197	85	32	6122	314	55	263	231	159	268	112	1775	316	37	62	823	131	660	198
52	24.557767	110.380736	202	85	31	6768	332	55	272	267	124	281	108	1677	312	45	65	817	150	696	179
53	24.7423687	114.530131	195	87	32	6470	321	49	274	230	130	270	106	1698	301	40	61	805	131	625	191
54	24.765167	110.308656	186	87	30	6877	316	44	271	251	110	265	93	1734	336	48	67	864	155	727	187
55	24.8137808	113.184435	200	85	30	6930	335	52	282	236	125	279	105	1482	249	38	61	713	122	517	175
56	24.832276	110.536241	187	84	31	6932	319	45	274	254	115	268	93	1705	322	48	66	831	155	696	186
57	24.838047	110.538541	187	84	31	6939	319	46	274	254	115	268	93	1705	321	48	66	831	154	696	186
58	24.9059488	108.842335	195	80	31	6598	319	56	260	259	123	272	104	1493	258	37	63	717	128	681	136
59	24.9111062	114.789812	202	87	31	6671	331	55	276	238	168	279	111	1648	284	38	60	769	131	597	190
60	24.916763	115.686721	190	87	31	6451	316	53	275	225	127	264	110	1629	273	37	58	743	137	569	194
61	24.952047	118.23401	204	69	30	5880	326	73	230	221	184	257	129	1257	233	28	59	544	106	430	148
62	24.952047	118.23401	204	69	30	5880	326	73	230	221	184	257	129	1257	233	28	59	544	106	430	148
63	24.9547599	115.650136	198	86	31	6484	325	52	276	232	164	272	107	1643	277	37	59	753	138	578	195
64	25.054611	110.717996	162	81	30	7091	304	21	271	229	89	240	67	1667	315	50	61	795	163	655	190
65	25.07621	113.743885	195	84	29	7135	332	47	289	232	118	280	100	1506	247	44	57	699	140	534	189
66	25.100326	105.508183	161	86	35	5485	268	29	239	223	82	223	82	1365	261	18	79	739	66	739	66
67	25.102234	113.806612	191	83	29	6979	332	47	281	232	118	275	100	1575	267	43	57	732	140	546	196
68	25.111757	114.324494	201	85	29	7034	341	53	286	241	125	287	105	1596	268	40	59	744	133	572	188
69	25.122519	113.743659	193	85	28	7052	329	45	284	230	116	278	98	1549	256	43	57	718	139	533	190
70	25.1244989	113.773813	200	85	29	7174	338	51	288	237	123	285	104	1517	251	43	57	705	140	518	191
71	25.146963	113.319261	187	82	29	7273	338	47	288	234	109	266	99	1468	234	43	57	688	133	489	182
72	25.219849	113.158907	165	78	28	6902	309	14	277	201	89	249	71	1583	248	44	56	735	140	543	190
73	25.2550887	110.0505316	193	87	30	7204	332	48	282	266	117	277	96	1796	354	48	68	911	164	742	190
74	25.2550887	110.0505316	193	87	30	7204	332	48	282	266	117	277	96	1796	354	48	68	911	164	742	190
75	25.2550887	110.0505316	193	87	30	7204	332	48	282	266	117	277	96	1796	354	48	68	911	164	742	190
76	25.2550887	110.0505316	193	87	30	7204	332	48	282	266	117	277	96	1796	354	48	68	911	164	742	190
77	25.288741	112.960898	186	82	27	7435	330	36	298	225	105	276	86	1426	231	41	54	645	136	484	163
78	25.3952016	114.358084	179	82	28	7228	337	39	290	234	100	284	100	1570	255	41	58	721	133	561	185
79	25.434266	114.384502	187	84	29	7250	333	43	292	228	109	277	90	1566	259	42	58	718	135	559	190
80	25.440531	114.32816	172	80	28	6974	308	26	282	209	96	256	78	1678	274	45	57	763	142	598	197
82	25.590404	115.78699	195	91	30	6918	332	41	290	237	107	281	101	1592	286	41	60	756	146	531	204
83	25.6002768	115.78606	199	90	30	6935	338	48	290	236	122	281	104	1596	267	40	59	750	142	531	198
84	25.721385	109.926217	175	84	28	7235	313	29	285	245	96	261	76	1598	287	45	60	743	166	612	179
85	25.934646	117.878362	185	79	31	6102	314	46	251	217	123	263	106	1651	268	39	54	729	140	585	191
86	26.3249604	114.514242	187	83	27	7768	340	35	306	228	101	282	82	1454	227	43	49	622	155	474	183
87	26.351556	111.156647	174	74	25	7958	336	32	304	220	94	277	68	1402	221	51	47	616	194	420	194
88	26.670462	115.63752	184	87	27	7745	341	31	311	218	103	277	84	1581	268	43	57	755	166	498	209
89	27.152778	104.936472	141	85	31	6175	272	8	263	214	53	214	53	945	168	15	77	492	45	492	45
90	27.152778	104.936472	141	85	31	6175	272	8	263	214	53	214	53	945	168	15	77	492	45	492	45
91	27.152778	104.936472	141	85	31	6175	272	8	263	214	53	214	53	945	168	15	77	492	45	492	45
92	27.18515	116.5797	184	86	27	7841	338	26	311	224	99	278	79	1693	301	46	61	827	171	526	225
93	27.206743	116.557278	187	86	27	7821	342	28	313	227	101	282	83	1675	292	46	62	826	171	515	224
94	27.558327	112.592472	178	76	23	8593	339	20	321	221	87	281	64	1611	201	46	41	602	192	562	191
95	27.56667778	117.6334361	182	82	27	7240	312	21	294	203	85	267	66	1932	345	49	57	939	179	664	258
96	27.56667778	117.6334361	182	82	27	7240	312	21	294	203	85	267	66	1932	345	49	57	939	179	664	258
97	27.602182	120.481103	186	70	25	7165	325	51	273	257	118	276	94	1584	233	40	52	599	145	577	171
98	27.631374	120.531696	184	69	25	7183	320	49	273	265	114	274	92	1610	234	44	52	611	159	588	174
99	27.701905	120.527187	182	70	25	7249	325	47	275	275	115	278	90	1612	240	44	52	626	152	594	176
100	28.085587	120.927981	171	66	24	7255	306	34	274	260	109	262	84	1654	230	48	48	611	181	600	192
101	28.090197	119.129621	180	90	28	7609	334	25	309	218	99	275	79	1717	304	43	54	755	166	594	212
102	28.092874	119.134364	180	90	28	7619	334	25	309	218	99	275	79	1717	304	43	54	739	166	594	212
103	28.257718	120.36153	134	73	26	7310	286	-9	282	223	59	223	39	1838	279	47	50	699	182	699	200
104	28.46	107.589722	138	74	26	7216	282	8	275	219	34	238	34	1249	185	20	60	546	66	498	66
105	28.46	107.589722	138	74	26	7216	282	8	275	219	34	238	34	1249	185	20	60	546	66	498	66
106	28.577217	120.93358	160	72	23	7570	299	13	291	250	86	250	62	1734	243	54	48	631	180	631	191
107	28.692348	121.266842	165	69	23	7644	312	22	286	259	100	256	72	1602	234	48	46	609	180	594	186
108	28.692348	121.266842	165	69	23	7644	312	22	286	259	100	256	72	1602	234	48	46	609	180	594	186
109	28.698445	121.141124	167	70	24	7560	310	23	288	259	93	261	68	1633	233	52	48	604	174	604	190
110	28.703501	121.268567	168	66	23	7582	309	27	281	262	96	263	70	1623	231	48	47	596	176	579	183
111	28.705529	121.264543	167	66	23	7548	307	26	281	260	95	261	70	1634	232	48	47	600	179	584	185
112	28.706542	121.278341	172	67	23	7598	312	30	282	265	99	266	74	1599	228	46	47	586	174	568	182
113	28.708063	121.257644	161	66	23	7579	301	19	281	255	88	255	63	1670	236	49	47	615	183	601	189
114	28.723775	121.258219	175	66	23	7653	317	33	281	270	103	270	77	1567	225	45	47	590	170	555	180
115	28.724282	121.280065	166	67	23	7657	306	30	282	267	100	267	71	1602	230	46	47	587	180	562	182
116	28.724282	121.280065	166	67	23	7657	306	30	282	267	100	267	71	1602	230	46	47	587	180	562	182
117	28.725803	121.242121	176	69	24	7600	318	34	286	270	103	271	78	1564	225	45	47	588	168	569	178
118	28.808318	119.062068	127	74	26	7448	269	-21	290	200	47	220	28	1954	321	46	48	798	194	704	231
119	28.996789	115.851165	171	79	24	8440	338	14	320	279	61	282	61	985	145	33	45	371	110	371	110
120	29.00009	118.829209	174	78	25	8301	331	16	318	209	86	276	63	1638	283	52	57	762	186	507	237
121	29.004134	118.828347	171	78	25	8301	331	16	318	209	86	276	63	1638	283	52	57	762	186	507	237
122	29.004134	118.828347	171	78	25	8301	331	16	318	209	86	276	63	1638	283	52	57	762	186	507	237
123	29.01121	118.835246	171	78	25	8269	331	16	318	209	86	276	63	1642	283	52	57	762	186	505	237
124	29.01121	118.835246	171	78	25	8269	331	16	318	209	86	276	63	1642	283	52	57	762	186	505	237
125	29.03252	118.835246	171	77	25	8306	331	14	315	209	84	273	61	1653	283	52	55	761	187	506	237
126	29.03421	118.835456	171	77	25	8306	331	14	315	209	84	273	61	1653	283	52	55	761	187	506	237
127	29.03432	118.825634	171	77	25	8288	331	14	315	208	84	273	61	1657	284	52	55	764	187	512	237
128	29.08453	118.833246	161	77	25	8208	322	4	312	204	74	266	56	1689	289	49	53	775	189	541	233
129	29.103644	107.312992	133	67	23	7119	273	2	273	202	34	222	34	1255	182	22	59	535	71	509	71
130	29.243429	106.281748	179	65	23	7163	341	52	279	248	96	276	96	1083	169	21	62	481	68	474	68
