scaffold	start	end	mid	sites	pi_root	pi_popA	pi_popB	dxy_root_popA	dxy_root_popB	dxy_popA_popB	Fst_root_popA	Fst_root_popB	Fst_popA_popB
1	1	1000000	492860	6187	0.0828	0.0216	0.1024	0.175	0.1751	0.1738	0.541	0.3086	0.4746
1	1	1000000	508148	6287	0.0767	0.0225	0.0812	0.1566	0.1738	0.1672	0.5194	0.3757	0.527
1	1	1000000	502479	5844	0.0912	0.02	0.0968	0.186	0.1789	0.1771	0.5405	0.3117	0.5045
1	1	1000000	501528	6138	0.0837	0.0241	0.1101	0.1896	0.1819	0.2009	0.558	0.3055	0.4999
1	1	1000000	480641	6156	0.0928	0.0221	0.0788	0.181	0.183	0.1905	0.5189	0.3623	0.582
1	1	1000000	497085	5866	0.0934	0.0205	0.1035	0.1752	0.1912	0.184	0.5099	0.3206	0.4963
1	1	1000000	502230	5931	0.0891	0.023	0.0912	0.1728	0.192	0.1846	0.5107	0.3615	0.5281
1	1	1000000	495304	5908	0.0878	0.0258	0.0905	0.1675	0.1708	0.1571	0.4943	0.3149	0.4605
1	1	1000000	493762	6442	0.0873	0.0236	0.0873	0.1834	0.1785	0.1916	0.536	0.3436	0.5515
1	1	1000000	496541	6109	0.0873	0.0226	0.0998	0.1823	0.1815	0.1933	0.5373	0.3204	0.5196
1	1	1000000	504881	6363	0.0847	0.0212	0.1113	0.1594	0.1662	0.1656	0.5021	0.2587	0.429
1	1	1000000	506468	5916	0.0944	0.0266	0.0825	0.1806	0.1856	0.1729	0.4989	0.3551	0.5212
1	1	1000000	505395	6270	0.0898	0.0184	0.0844	0.1811	0.1799	0.1734	0.5408	0.3483	0.5434
1	1	1000000	498003	6406	0.0888	0.0219	0.1057	0.1762	0.1891	0.1788	0.5225	0.3214	0.4748
1	1	1000000	494189	5859	0.0869	0.0278	0.102	0.17	0.1843	0.1889	0.4959	0.3228	0.4891
1	1	1000000	495904	6660	0.0955	0.0234	0.095	0.1909	0.1847	0.1695	0.5255	0.3201	0.4828
1	1	1000000	500544	6246	0.0952	0.0295	0.0956	0.1835	0.1813	0.1881	0.4931	0.3109	0.5014
1	1	1000000	484694	6061	0.0808	0.0229	0.0971	0.1674	0.184	0.1697	0.5275	0.3488	0.4783
1	1	1000000	495692	6145	0.0872	0.0222	0.1167	0.1784	0.1802	0.1806	0.5312	0.2778	0.4451
1	1	1000000	498026	6147	0.1012	0.0233	0.1095	0.1826	0.1942	0.1859	0.492	0.2972	0.4742
1	1	1000000	496182	6112	0.088	0.0228	0.0996	0.1872	0.191	0.2018	0.5439	0.3419	0.5354
1	1	1000000	492040	6283	0.0912	0.0246	0.1029	0.1673	0.1769	0.1714	0.4865	0.2921	0.4582
1	1	1000000	489704	6146	0.0904	0.0217	0.1031	0.1773	0.1872	0.1842	0.5203	0.3189	0.4944
1	1	1000000	490697	6288	0.0809	0.019	0.1149	0.1715	0.1745	0.1709	0.5496	0.2818	0.4376
1	1	1000000	501705	6517	0.0918	0.0243	0.0957	0.1854	0.1733	0.1829	0.5238	0.2982	0.5066
1	1	1000000	498264	6446	0.0968	0.0182	0.1077	0.1646	0.179	0.1878	0.4827	0.2734	0.4986
1	1	1000000	505622	6359	0.0903	0.0227	0.0993	0.1643	0.1693	0.1747	0.4888	0.2827	0.4832
1	1	1000000	498187	5898	0.0895	0.0284	0.0949	0.1771	0.1858	0.1813	0.5012	0.3372	0.4932
1	1	1000000	503856	5962	0.098	0.0263	0.049	0.1678	0.1753	0.1767	0.46	0.4099	0.6493
1	1	1000000	497281	6271	0.0918	0.0203	0.0844	0.1901	0.1847	0.1895	0.545	0.3547	0.5677
