scaffold	start	end	mid	sites	pi_root	pi_popA	pi_popB	dxy_root_popA	dxy_root_popB	dxy_popA_popB	Fst_root_popA	Fst_root_popB	Fst_popA_popB
1	1	1000000	501966	5841	0.0915	0.032	0.0218	0.1913	0.1842	0.1831	0.5125	0.53	0.744
1	1	1000000	511089	5741	0.0888	0.0223	0.0218	0.1975	0.2023	0.1995	0.5617	0.5714	0.8016
1	1	1000000	503669	5834	0.0977	0.0242	0.0247	0.1767	0.1824	0.1868	0.4874	0.4981	0.7689
1	1	1000000	487943	5865	0.0915	0.0295	0.0275	0.1872	0.1793	0.1856	0.5121	0.5022	0.7341
1	1	1000000	492132	6129	0.0898	0.0217	0.0273	0.2072	0.2035	0.1889	0.5767	0.5539	0.7711
1	1	1000000	511864	5595	0.093	0.0255	0.0241	0.1872	0.1729	0.1822	0.5197	0.4943	0.7606
1	1	1000000	495637	6005	0.0898	0.0257	0.0214	0.2007	0.1901	0.189	0.5536	0.5481	0.7789
1	1	1000000	486485	5612	0.0919	0.0215	0.0319	0.1894	0.1865	0.1943	0.5398	0.5019	0.7587
1	1	1000000	501642	5713	0.1014	0.0272	0.0196	0.1903	0.1926	0.2006	0.4954	0.5224	0.7914
1	1	1000000	500398	5648	0.0824	0.0239	0.0282	0.191	0.1831	0.1924	0.565	0.5364	0.7616
1	1	1000000	510777	5806	0.0878	0.0266	0.0319	0.1784	0.2018	0.1872	0.5152	0.5431	0.7303
1	1	1000000	499473	6219	0.0975	0.0329	0.0263	0.1929	0.1838	0.203	0.4956	0.4969	0.7461
1	1	1000000	494824	5873	0.0886	0.0197	0.0311	0.1791	0.1849	0.1821	0.5363	0.5114	0.7555
1	1	1000000	509628	5827	0.1009	0.0249	0.0244	0.1904	0.1871	0.1914	0.504	0.4988	0.7724
1	1	1000000	502280	5865	0.0853	0.0241	0.0301	0.1756	0.1815	0.1861	0.5254	0.5183	0.7463
1	1	1000000	492728	5762	0.087	0.0246	0.0216	0.1711	0.1818	0.1821	0.5088	0.5405	0.775
1	1	1000000	489216	6254	0.0983	0.0237	0.0218	0.18	0.1926	0.1783	0.4944	0.5252	0.7739
1	1	1000000	486947	5890	0.0822	0.0258	0.0236	0.1763	0.1886	0.1805	0.5315	0.5624	0.7593
1	1	1000000	502916	5976	0.0917	0.0332	0.0242	0.1876	0.184	0.1928	0.5012	0.5216	0.7413
1	1	1000000	505846	5814	0.0927	0.0254	0.0249	0.1844	0.1809	0.181	0.5157	0.5102	0.7566
1	1	1000000	508840	6031	0.1039	0.0203	0.0237	0.203	0.1937	0.1966	0.5323	0.5051	0.7993
1	1	1000000	502078	5885	0.092	0.0272	0.0212	0.2015	0.2055	0.2109	0.5442	0.5687	0.7946
1	1	1000000	487415	6166	0.094	0.0219	0.0338	0.1837	0.1813	0.1963	0.5211	0.4794	0.7518
1	1	1000000	496375	5800	0.0852	0.0286	0.0204	0.1804	0.1933	0.1898	0.5212	0.5717	0.7718
1	1	1000000	495587	5642	0.0872	0.0275	0.0218	0.183	0.193	0.1818	0.5233	0.5602	0.7616
1	1	1000000	494736	5943	0.0879	0.0225	0.0208	0.1894	0.1863	0.1806	0.5493	0.5489	0.7862
1	1	1000000	498606	5920	0.1002	0.0288	0.0309	0.1921	0.1886	0.1893	0.4979	0.485	0.7281
1	1	1000000	505764	5995	0.091	0.0245	0.0255	0.1973	0.1876	0.1832	0.5478	0.5268	0.7607
1	1	1000000	502476	5909	0.0827	0.0258	0.0243	0.1847	0.1931	0.1762	0.5464	0.5667	0.7513
1	1	1000000	494369	5607	0.0962	0.0259	0.0239	0.1661	0.1871	0.1764	0.4632	0.5148	0.753
