scaffold	start	end	mid	sites	pi_root	pi_popA	pi_popB	dxy_root_popA	dxy_root_popB	dxy_popA_popB	Fst_root_popA	Fst_root_popB	Fst_popA_popB
1	1	1000000	496055	5428	0.1093	0.0289	0.0136	0.1971	0.1994	0.1986	0.4817	0.5296	0.8073
1	1	1000000	513396	5617	0.1069	0.0249	0.0104	0.1976	0.2124	0.2104	0.5005	0.5677	0.8454
1	1	1000000	519883	5500	0.0999	0.0247	0.0154	0.1987	0.2088	0.1823	0.5232	0.5679	0.8022
1	1	1000000	506794	5301	0.101	0.0307	0.0107	0.2112	0.1932	0.1884	0.5255	0.5522	0.8027
1	1	1000000	488903	5562	0.0978	0.025	0.0191	0.2014	0.2095	0.1858	0.5336	0.5643	0.7883
1	1	1000000	505663	5531	0.105	0.0295	0.0073	0.1893	0.1864	0.1997	0.4761	0.5373	0.8313
1	1	1000000	510011	5534	0.0947	0.0328	0.0083	0.2187	0.2232	0.208	0.5491	0.6256	0.8204
1	1	1000000	495825	5426	0.1036	0.027	0.0104	0.2139	0.1998	0.1842	0.5328	0.5565	0.8159
1	1	1000000	496282	5412	0.103	0.0246	0.0072	0.2111	0.1918	0.1932	0.5364	0.5542	0.8481
1	1	1000000	492758	5166	0.0993	0.0252	0.0134	0.2032	0.1901	0.1972	0.5317	0.5433	0.8222
1	1	1000000	486535	5577	0.1001	0.0275	0.0099	0.2022	0.1982	0.198	0.521	0.5662	0.8279
1	1	1000000	499645	5565	0.0931	0.0316	0.0103	0.2027	0.188	0.1979	0.5304	0.5692	0.809
1	1	1000000	503684	5484	0.0996	0.0235	0.0107	0.1796	0.2013	0.1897	0.4902	0.5704	0.8347
1	1	1000000	490169	5603	0.105	0.0239	0.0068	0.1932	0.1832	0.2021	0.5002	0.533	0.8593
1	1	1000000	503465	5445	0.1047	0.0369	0.0106	0.2081	0.206	0.2005	0.4929	0.5634	0.7885
1	1	1000000	502619	5427	0.106	0.02	0.0137	0.1994	0.2119	0.1972	0.5206	0.5601	0.8429
1	1	1000000	512213	5470	0.0992	0.0299	0.0091	0.2041	0.1939	0.1915	0.52	0.5637	0.8154
1	1	1000000	494235	5534	0.1103	0.0315	0.0158	0.1903	0.2019	0.2078	0.4576	0.5246	0.7958
1	1	1000000	502750	5632	0.1088	0.0296	0.0094	0.1991	0.1945	0.2161	0.4846	0.5348	0.8348
1	1	1000000	502547	5346	0.0932	0.0321	0.0149	0.2054	0.1936	0.208	0.5333	0.5641	0.7974
1	1	1000000	509027	5565	0.1032	0.0274	0.0102	0.1928	0.2026	0.1916	0.4945	0.5635	0.8217
1	1	1000000	497843	5508	0.114	0.031	0.0125	0.2035	0.2184	0.2158	0.4752	0.5514	0.817
1	1	1000000	484163	5193	0.0996	0.0293	0.0193	0.1953	0.1951	0.1951	0.5044	0.5336	0.7788
1	1	1000000	507999	5857	0.1031	0.0279	0.0161	0.1918	0.1906	0.191	0.4916	0.5242	0.794
1	1	1000000	497655	5413	0.0979	0.0252	0.0139	0.2043	0.1826	0.2002	0.5376	0.5319	0.8227
1	1	1000000	507408	5410	0.0959	0.0275	0.0118	0.2061	0.1939	0.2034	0.5399	0.5661	0.8242
1	1	1000000	492768	5516	0.1071	0.0219	0.0137	0.2052	0.2143	0.2168	0.5224	0.5611	0.8486
1	1	1000000	498195	5382	0.1108	0.0226	0.0053	0.1922	0.2019	0.1989	0.4852	0.5537	0.869
1	1	1000000	489754	5822	0.1048	0.0285	0.0107	0.1953	0.2022	0.1941	0.4919	0.5563	0.8171
1	1	1000000	493948	5329	0.1072	0.0265	0.0158	0.2051	0.2072	0.1969	0.5091	0.5429	0.8065
