Number	lat	lon	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19
1	25.8025	105.6641667	180	87	33	5961	299	47	252	249	95	249	95	1254	250	15	77	652	57	652	57
2	25.8025	105.6641667	180	87	33	5961	299	47	252	249	95	249	95	1254	250	15	77	652	57	652	57
3	22.164095	107.155962	218	82	37	5108	320	98	220	275	162	275	146	1453	268	28	73	755	90	755	104
4	22.0103919	107.3252678	216	79	35	5063	312	100	215	273	162	273	147	1594	295	27	75	856	99	856	109
5	18.732836	109.188252	245	74	44	3149	318	150	165	262	198	279	198	1334	259	11	81	713	40	457	40
6	18.733384	109.190408	245	74	44	3149	318	150	165	262	198	279	198	1334	259	11	81	713	40	457	40
7	18.2526246	109.5119226	255	64	44	2651	306	174	NA	258	226	285	217	1319	263	8	85	719	31	465	31
8	18.2526246	109.5119226	255	64	44	2651	306	174	NA	258	226	285	217	1319	263	8	85	719	31	465	31
9	18.741699	109.676461	210	77	47	3005	279	117	161	237	167	242	167	1683	320	16	77	877	62	620	62
10	18.665406	109.69299	254	72	45	3014	312	151	160	258	200	275	200	1485	296	13	79	792	47	531	47
11	18.6263091	109.7003424	248	74	46	2959	316	161	161	266	206	280	206	1451	283	12	80	767	46	495	46
12	18.6354	109.770172	249	73	46	2943	317	158	160	264	205	281	205	1525	296	13	79	792	52	523	52
13	26.1580381	109.784359	174	83	28	7425	317	26	293	212	65	262	65	1419	240	43	53	633	167	513	167
14	18.710474	109.790869	226	75	46	2947	299	134	162	242	183	259	183	1738	329	15	77	871	58	616	58
15	19.781907	110.049731	239	71	39	3906	325	143	180	266	187	282	187	1251	201	24	57	522	88	462	88
16	19.775376	110.050306	239	71	39	3906	325	143	180	266	187	282	187	1265	206	24	57	522	88	462	88
17	19.769933	110.065828	239	71	39	3921	325	145	180	266	187	282	187	1277	222	25	59	540	88	466	88
18	19.713802	110.295968	244	72	39	3835	329	148	181	268	189	285	189	1575	274	28	60	674	108	584	108
19	22.720089	110.339144	219	79	33	5479	321	89	235	269	155	275	139	1574	255	32	63	702	116	692	149
20	24.80453	110.511089	199	84	31	6983	332	55	275	263	124	277	102	1700	323	48	66	837	155	701	185
21	21.7005184	111.161577	232	73	34	4691	322	117	206	283	180	283	165	1827	328	25	73	880	101	880	107
22	23.5962197	111.702686	211	85	34	5953	332	78	254	243	149	282	131	1432	248	35	61	647	116	581	141
23	22.0733416	112.666329	220	63	31	5015	309	109	203	275	151	275	151	1509	314	17	82	829	68	829	68
24	22.287443	112.764981	220	66	30	5110	314	106	211	277	149	277	149	1290	330	13	97	745	52	745	52
25	24.8137808	113.184435	200	85	30	6930	335	52	282	236	125	279	105	1482	249	38	61	713	122	517	175
26	22.261081	113.19221	220	66	31	5074	323	109	210	282	156	282	156	1534	277	22	74	805	83	805	83
27	22.253254	113.218872	214	64	32	5064	315	103	201	274	163	274	145	1569	295	24	76	839	84	839	91
28	25.147629	113.321231	187	82	29	7273	338	47	288	234	121	266	99	1470	234	44	57	688	133	489	182
29	25.147629	113.321231	187	82	29	7273	338	47	288	234	121	266	99	1470	234	44	57	688	133	489	182
30	22.1583538	113.385912	NA	65	NA	5038	322	117	205	NA	175	NA	NA	1710	306	24	NA	NA	93	NA	92
31	22.1583538	113.385912	NA	65	NA	5038	322	117	205	NA	175	NA	NA	1710	306	24	NA	NA	93	NA	92
32	22.1583538	113.385912	NA	65	NA	5038	322	117	205	NA	175	NA	NA	1710	306	24	NA	NA	93	NA	92
33	22.1583538	113.385912	NA	65	NA	5038	322	117	205	NA	175	NA	NA	1710	306	24	NA	NA	93	NA	92
34	23.5477	113.571385	215	84	34	5670	325	80	247	249	153	279	136	1952	361	31	68	919	127	804	170
35	24.6827313	113.6045444	211	88	30	6860	347	66	282	246	138	292	120	1539	263	39	60	738	132	533	189
36	24.6827313	113.6045444	211	88	30	6860	347	66	282	246	138	292	120	1539	263	39	60	738	132	533	189
37	24.668678	113.61577	211	88	30	6835	347	66	282	245	138	292	120	1543	265	39	60	742	132	536	189
38	23.6510794	113.671052	211	84	34	5728	325	73	244	242	148	275	132	2014	381	33	69	974	129	821	179
39	23.6510794	113.6710525	211	84	34	5728	325	73	244	242	148	275	132	2014	381	33	69	974	129	821	179
40	25.10747	113.801438	191	82	29	6979	319	38	281	221	109	275	91	1575	267	43	57	732	140	546	196
41	22.6961991	113.938254	218	70	33	5062	312	97	218	274	166	274	146	1962	339	31	72	988	104	988	116
42	24.3990481	113.987821	181	83	33	6095	310	47	268	223	115	258	104	1871	327	37	64	899	130	723	191
43	24.3990481	113.987821	181	83	33	6095	310	47	268	223	115	258	104	1871	327	37	64	899	130	723	191
44	24.3990481	113.9878213	181	83	33	6095	310	47	268	223	115	258	104	1871	327	37	64	899	130	723	191
45	22.5442297	114.057794	224	73	34	4940	316	109	209	281	175	281	155	1945	333	29	74	995	94	995	105
46	22.5442297	114.057794	224	73	34	4940	316	109	209	281	175	281	155	1945	333	29	74	995	94	995	105
47	22.5442297	114.057794	224	73	34	4940	316	109	209	281	175	281	155	1945	333	29	74	995	94	995	105
48	22.5442297	114.057794	224	73	34	4940	316	109	209	281	175	281	155	1945	333	29	74	995	94	995	105
49	24.341846	114.102649	210	88	32	6195	333	68	266	236	137	282	125	1786	327	37	66	873	131	682	192
50	24.339455	114.103743	210	88	32	6166	333	68	266	236	137	282	125	1786	327	37	66	873	131	682	192
51	24.339739	114.103942	210	88	32	6166	333	68	266	236	137	282	125	1786	327	37	66	873	131	682	192
52	23.6462343	114.1175	206	86	34	5573	306	69	241	252	142	262	125	2005	367	33	67	948	127	838	183
53	24.8319706	114.142574	197	86	30	6590	335	56	278	239	131	283	106	1699	286	39	61	778	133	590	191
54	24.8319706	114.142574	197	86	30	6590	335	56	278	239	131	283	106	1699	286	39	61	778	133	590	191
55	24.049179	114.165791	191	83	34	5906	305	54	257	223	128	258	112	1905	355	36	65	936	129	747	192
56	24.346587	114.168836	195	88	32	6135	316	60	267	243	130	266	118	1814	331	37	65	874	129	676	190
57	24.0795663	114.176992	193	83	34	5822	307	55	248	225	129	260	113	1968	355	36	65	946	129	781	192
58	24.081647	114.193674	188	83	33	5749	301	51	257	220	123	255	107	1980	355	36	65	946	128	794	192
59	23.706709	114.256978	215	86	34	5654	326	80	246	246	153	281	136	1950	354	32	66	925	126	798	181
60	23.376591	114.269635	204	77	35	5404	322	81	223	269	148	265	136	2006	345	34	68	943	122	845	173
61	25.6818818	114.30827	189	78	27	7425	334	37	296	228	106	279	88	1549	247	48	55	695	154	542	198
62	25.6818818	114.30827	189	78	27	7425	334	37	296	228	106	279	88	1549	247	48	55	695	154	542	198
63	25.112743	114.328069	201	85	29	6985	341	53	287	241	124	287	106	1596	268	40	59	744	133	572	188
64	25.11536	114.328285	201	85	29	6985	341	53	287	241	124	287	105	1596	268	40	59	744	133	572	188
65	25.1834569	114.338042	199	85	29	7043	336	50	288	237	122	283	104	1590	266	40	59	739	134	571	189
66	25.1834569	114.3380427	199	85	29	7043	336	50	288	237	122	283	104	1590	266	40	59	739	134	571	189
67	25.3952016	114.358084	179	82	28	7228	337	39	290	234	100	284	100	1570	255	41	58	721	133	561	185
68	25.135131	114.369466	201	85	30	6983	340	52	285	241	128	286	106	1602	269	40	60	746	133	573	186
69	23.0896114	114.417425	222	77	33	5274	324	98	225	275	167	279	150	1948	328	30	68	920	110	905	146
70	25.420952	114.42374	196	82	28	7219	336	46	292	234	116	285	94	1584	256	44	57	716	139	558	185
71	25.418472	114.434232	196	84	28	7237	336	46	291	234	113	282	95	1574	257	44	57	722	135	564	186
72	25.426043	114.435238	196	84	28	7231	336	46	291	234	113	285	95	1574	257	44	57	716	135	558	186
73	25.419777	114.436819	196	84	28	7237	336	46	291	234	113	282	95	1574	257	43	59	722	135	564	186
74	25.416383	114.439406	196	84	28	7215	337	46	291	234	113	282	95	1573	257	43	59	722	135	564	186
75	24.7423687	114.530131	195	87	32	6470	321	49	274	230	130	270	106	1698	301	40	61	805	131	625	191
76	24.7423687	114.530131	195	87	32	6470	321	49	274	230	130	270	106	1698	301	40	61	805	131	625	191
77	24.7423687	114.530131	195	87	32	6470	321	49	274	230	130	270	106	1698	301	40	61	805	131	625	191
78	24.7423687	114.530131	195	87	32	6470	321	49	274	230	130	270	106	1698	301	40	61	805	131	625	191
79	24.7423687	114.530131	195	87	32	6470	321	49	274	230	130	270	106	1698	301	40	61	805	131	625	191
80	24.7423687	114.530131	195	87	32	6470	321	49	274	230	130	270	106	1698	301	40	61	805	131	625	191
81	24.920419	114.724045	192	85	30	6636	320	50	274	230	125	269	103	1688	295	40	60	794	133	615	195
82	24.9111062	114.789812	202	87	31	6671	331	55	276	238	168	279	111	1648	284	38	60	769	131	597	190
83	24.9111062	114.789812	202	87	31	6671	331	55	276	238	168	279	111	1648	284	38	60	769	131	597	190
84	24.9111062	114.789812	202	87	31	6671	331	55	276	238	168	279	111	1648	284	38	60	769	131	597	190
85	24.961308	114.813731	177	82	30	6459	303	33	268	213	105	253	89	1776	305	41	61	820	138	653	196
86	24.4421781	114.938685	198	85	33	6173	331	56	265	231	167	268	113	1703	303	35	62	791	128	623	195
87	24.428645	114.965714	198	87	33	6104	323	57	261	236	172	273	115	1737	310	34	60	800	128	639	195
88	22.9636192	114.98866	178	68	32	4833	263	83	209	231	146	231	113	2164	379	29	72	1083	106	1083	149
89	25.1369222	115.393921	195	87	30	6686	327	49	278	232	122	274	104	1632	274	38	58	753	137	571	196
90	24.964991	115.63868	198	86	31	6516	324	44	276	232	161	269	101	1643	277	37	59	763	138	586	195
91	24.965738	115.638732	198	86	31	6516	324	44	276	232	161	269	101	1643	277	37	59	763	138	586	195
92	24.9547599	115.650136	198	86	31	6484	325	52	276	232	164	272	107	1643	277	37	59	753	138	578	195
93	24.9547599	115.650136	198	86	31	6484	325	52	276	232	164	272	107	1643	277	37	59	753	138	578	195
94	24.9547599	115.650136	198	86	31	6484	325	52	276	232	164	272	107	1643	277	37	59	753	138	578	195
95	25.6002768	115.78606	199	90	30	6935	338	48	290	236	122	281	104	1596	267	40	59	750	142	531	198
96	24.604483	115.897544	203	88	33	6057	325	60	265	235	135	273	119	1624	266	33	57	717	129	580	187
97	24.6554713	115.938699	189	85	33	6123	324	54	260	223	125	263	110	1572	279	35	58	711	132	569	189
98	24.6554713	115.938699	189	85	33	6123	324	54	260	223	125	263	110	1572	279	35	58	711	132	569	189
99	24.6554713	115.938699	189	85	33	6123	324	54	260	223	125	263	110	1572	279	35	58	711	132	569	189
100	24.6554713	115.9386992	189	85	33	6123	324	54	260	223	125	263	110	1572	279	35	58	711	132	569	189
101	24.433395	115.964737	206	87	33	5935	325	62	256	237	135	267	120	1573	248	32	57	674	126	561	182
102	24.2899411	116.120542	203	90	34	5809	338	76	259	250	155	286	139	1493	229	29	55	633	114	544	170
103	27.171781	116.569351	184	86	27	7802	338	26	311	224	99	278	79	1693	301	46	61	827	171	526	226
104	24.3356598	116.625881	190	80	33	5528	298	64	234	217	131	253	116	1612	288	31	57	703	118	683	167
105	24.3356598	116.625881	190	80	33	5528	298	64	234	217	131	253	116	1612	288	31	57	703	118	683	167
106	24.3356598	116.625881	190	80	33	5528	298	64	234	217	131	253	116	1612	288	31	57	703	118	683	167
107	24.3356598	116.625881	190	80	33	5528	298	64	234	217	131	253	116	1612	288	31	57	703	118	683	167
108	24.3356598	116.625881	190	80	33	5528	298	64	234	217	131	253	116	1612	288	31	57	703	118	683	167
109	24.3356598	116.625881	190	80	33	5528	298	64	234	217	131	253	116	1612	288	31	57	703	118	683	167
110	24.3356598	116.6258812	190	80	33	5528	298	64	234	217	131	253	116	1612	288	31	57	703	118	683	167
111	23.438651	116.651753	214	65	31	5196	311	103	205	275	162	275	144	1553	277	31	65	717	103	712	130
112	23.427245	116.660089	214	65	31	5309	311	103	210	275	162	275	144	1553	282	31	65	717	103	717	130
113	23.438121	116.663539	214	65	31	5317	311	103	210	275	162	275	144	1553	282	31	66	717	103	717	130
114	23.439712	116.665551	214	65	31	5317	311	103	210	275	162	275	144	1553	282	31	66	717	103	717	130
115	24.340554	116.677409	217	78	32	5657	330	86	244	240	152	283	139	1506	256	30	58	658	115	483	158
116	25.723109	116.702381	186	92	33	6317	322	40	278	220	118	258	103	1718	304	42	61	816	150	584	209
117	24.3661	116.765371	197	79	33	5545	310	74	231	224	135	257	123	1645	283	29	61	720	116	660	164
118	24.3661	116.765371	197	79	33	5545	310	74	231	224	135	257	123	1645	283	29	61	720	116	660	164
119	24.365573	116.767095	200	79	33	5545	310	74	231	221	135	257	123	1623	287	29	61	720	116	650	164
120	25.742507	116.791565	185	93	33	6348	325	42	281	219	114	259	99	1693	294	41	60	802	148	565	207
121	25.737507	116.796265	188	93	34	6349	325	45	281	222	114	263	102	1695	294	41	60	802	148	566	207
122	26.782397	117.1619	168	89	30	6846	316	19	280	203	93	250	76	1835	327	46	60	880	168	593	229
123	24.7092642	117.31493	196	75	32	5555	307	74	233	227	139	261	122	1612	290	30	61	710	120	662	164
124	24.7092642	117.31493	196	75	32	5555	307	74	233	227	139	261	122	1612	290	30	61	710	120	662	164
125	24.51638	117.336135	212	69	30	5661	315	92	231	257	153	275	135	1517	274	28	59	662	114	501	153
126	24.505398	117.33707	212	69	30	5670	322	93	231	264	153	280	135	1506	274	28	59	657	114	497	154
127	24.524599	117.351011	212	68	30	5683	315	92	232	257	153	275	135	1503	274	28	59	661	113	500	151
128	24.523613	117.351514	212	68	30	5683	315	92	230	257	153	275	135	1503	274	28	59	661	113	500	151
129	24.524613	117.3522514	212	68	30	5683	315	92	232	257	153	275	135	1503	274	28	59	661	113	500	151
130	24.527599	117.356011	203	68	30	5688	325	92	232	257	153	278	135	1503	277	28	59	655	113	500	151
131	24.598677	117.373218	199	72	32	5745	326	80	234	249	142	282	125	1561	288	29	60	668	117	506	158
132	24.383637	117.383494	209	66	31	5447	315	82	226	246	146	254	135	1555	286	28	59	665	109	514	149
133	24.351511	117.383494	209	66	31	5586	301	82	216	256	154	269	135	1477	272	28	59	648	109	502	149
134	24.573178	117.385578	199	72	29	5713	308	80	234	250	143	282	125	1513	288	29	60	694	116	506	157
135	24.384637	117.386394	209	66	31	5447	315	82	216	246	146	254	135	1555	286	28	59	665	109	521	149
136	24.334654	117.388668	200	66	31	5534	304	95	216	250	154	269	127	1521	272	28	61	662	108	522	150
137	24.524336	117.396142	211	67	29	5606	309	83	227	263	149	279	136	1546	283	27	60	676	115	517	149
138	24.579225	117.396214	190	67	29	5725	326	73	234	251	135	282	118	1513	291	29	60	668	115	506	157
139	24.561348	117.405988	198	70	30	5483	303	80	232	246	140	260	125	1594	288	28	59	700	115	537	156
140	27.554704	117.407461	159	83	26	7178	291	15	292	193	137	244	62	1951	336	48	55	927	189	688	246
141	24.559244	117.411737	195	70	30	5461	303	77	232	246	140	260	122	1588	288	28	59	697	115	537	156
142	24.55083	117.426685	205	70	30	5601	308	86	231	251	140	272	127	1562	286	28	59	664	115	520	153
143	24.535053	117.426685	206	69	30	5684	310	86	229	251	145	274	127	1521	283	28	59	664	115	520	153
144	24.604459	117.430709	213	70	31	5708	325	93	233	266	156	276	136	1517	278	29	59	660	117	502	156
145	24.618126	117.452556	207	70	29	5693	318	91	232	259	151	274	132	1548	280	28	59	676	117	518	152
146	24.601305	117.472678	203	69	29	5560	313	89	228	254	152	270	129	1572	283	28	61	688	116	526	155
147	24.613921	117.485326	201	69	30	5529	309	80	230	252	143	266	125	1584	285	28	61	695	116	528	153
148	24.590791	117.507748	213	68	28	5732	323	91	230	265	148	272	131	1527	280	28	61	666	114	512	151
149	24.9137626	117.512383	206	77	32	5573	313	75	233	212	147	274	128	1607	286	31	60	708	122	637	168
150	24.575019	117.518096	213	68	28	5735	323	91	230	265	152	275	133	1527	279	28	61	666	114	512	151
151	24.155811	117.585262	213	52	25	5613	312	101	204	263	161	280	141	1295	239	24	59	588	94	457	189
152	24.151063	117.656552	204	54	26	5474	306	100	206	254	155	271	134	1331	235	25	59	584	96	471	129
153	24.161613	117.657702	204	54	26	5441	302	98	206	252	153	269	133	1352	239	25	59	594	96	479	196
154	24.4796693	118.089766	214	60	28	5680	319	102	212	266	199	281	142	1186	189	26	56	465	91	391	196
155	26.187113	118.125001	202	85	32	6389	337	63	270	232	117	280	110	1549	267	39	57	711	138	543	183
156	25.657088	118.242298	149	69	31	5419	249	22	233	175	91	215	69	1714	271	37	54	695	138	665	179
157	27.486791	118.242695	166	81	29	7027	298	23	275	199	91	249	74	1916	341	50	59	929	181	645	247
158	25.344695	118.286687	183	73	30	5940	310	75	242	220	173	251	126	1418	247	30	55	605	112	444	153
159	25.352532	118.30106	189	73	31	5759	293	73	232	214	169	247	116	1470	254	32	55	621	119	574	162
160	27.542856	118.782125	173	85	29	7197	325	31	296	203	96	259	84	1822	328	47	55	828	174	633	232
161	26.125843	119.379949	174	69	28	6188	294	55	243	248	117	249	95	1550	245	39	52	602	134	550	282
162	25.970296	119.557609	178	64	27	6132	296	60	238	252	124	254	98	1483	233	40	49	572	131	515	274
163	27.091551	119.62568	171	77	29	6955	306	33	282	198	105	257	79	1573	251	39	51	666	134	501	178
164	27.985053	119.6594	140	87	26	7375	298	22	303	230	63	261	56	1682	269	37	49	676	154	611	189
165	27.561401	119.666906	149	74	27	6826	284	-2	275	204	65	233	56	1880	309	45	49	728	179	701	212
166	27.978789	119.68727	142	82	26	7224	279	-2	282	223	63	230	56	1829	290	37	48	721	178	661	207
167	27.970367	119.68957	142	82	26	7142	277	-2	282	223	68	248	63	1829	299	37	48	721	178	678	207
168	27.559096	119.691052	140	74	29	6972	290	24	275	218	93	238	46	1793	283	40	51	687	162	653	215
169	27.827469	120.076219	168	75	26	7142	312	23	289	257	95	257	74	1726	265	43	52	653	156	653	184
